zipcode,Town,date,Count,Tests,town_population
01331,Athol,2020-04-22,34,NA,11965
01331,Athol,2020-04-29,38,NA,11965
01331,Athol,2020-05-06,41,NA,11965
01331,Athol,2020-05-13,46,NA,11965
01331,Athol,2020-05-20,46,NA,11965
01331,Athol,2020-05-27,55,864,11965
01331,Athol,2020-06-03,58,954,11965
01331,Athol,2020-06-10,62,1033,11965
01331,Athol,2020-06-17,62,1142,11965
01331,Athol,2020-06-24,63,1243,11965
01331,Athol,2020-07-01,65,1742,11965
01331,Athol,2020-07-08,67,1921,11965
01331,Athol,2020-07-15,67,2013,11965
01331,Athol,2020-07-22,68,2278,11965
01331,Athol,2020-07-29,68,2495,11965
01331,Athol,2020-08-05,69,2718,11965
01331,Athol,2020-08-12,69,2952,11965
01331,Athol,2020-08-19,80,3280,11965
01331,Athol,2020-08-26,81,3527,11965
01331,Athol,2020-09-02,81,3846,11965
01331,Athol,2020-09-09,83,4107,11965
01331,Athol,2020-09-16,85,4390,11965
01085,Westfield,2020-04-22,270,NA,41578
01085,Westfield,2020-04-29,344,NA,41578
01085,Westfield,2020-05-06,384,NA,41578
01085,Westfield,2020-05-13,397,NA,41578
01085,Westfield,2020-05-20,416,NA,41578
01085,Westfield,2020-05-27,427,2392,41578
01085,Westfield,2020-06-03,428,2621,41578
01085,Westfield,2020-06-10,430,2901,41578
01085,Westfield,2020-06-17,433,3139,41578
01085,Westfield,2020-06-24,439,3425,41578
01085,Westfield,2020-07-01,451,4704,41578
01085,Westfield,2020-07-08,461,5345,41578
01085,Westfield,2020-07-15,466,5643,41578
01085,Westfield,2020-07-22,471,6163,41578
01085,Westfield,2020-07-29,483,6708,41578
01085,Westfield,2020-08-05,493,7287,41578
01085,Westfield,2020-08-12,499,8066,41578
01085,Westfield,2020-08-19,502,8728,41578
01085,Westfield,2020-08-26,512,9587,41578
01085,Westfield,2020-09-02,515,10532,41578
01085,Westfield,2020-09-09,521,11624,41578
01085,Westfield,2020-09-16,529,12631,41578
01370,Shelburne,2020-04-22,5,NA,1849
01370,Shelburne,2020-04-29,6,NA,1849
01370,Shelburne,2020-05-06,7,NA,1849
01370,Shelburne,2020-05-13,7,NA,1849
01370,Shelburne,2020-05-20,8,NA,1849
01370,Shelburne,2020-05-27,8,161,1849
01370,Shelburne,2020-06-03,8,178,1849
01370,Shelburne,2020-06-10,8,193,1849
01370,Shelburne,2020-06-17,8,227,1849
01370,Shelburne,2020-06-24,8,284,1849
01370,Shelburne,2020-07-01,8,367,1849
01370,Shelburne,2020-07-08,8,413,1849
01370,Shelburne,2020-07-15,8,447,1849
01370,Shelburne,2020-07-22,8,511,1849
01370,Shelburne,2020-07-29,8,565,1849
01370,Shelburne,2020-08-05,8,635,1849
01370,Shelburne,2020-08-12,8,687,1849
01370,Shelburne,2020-08-19,8,738,1849
01370,Shelburne,2020-08-26,8,821,1849
01370,Shelburne,2020-09-02,9,915,1849
01370,Shelburne,2020-09-09,9,1006,1849
01370,Shelburne,2020-09-16,9,1120,1849
01235,Hinsdale,2020-04-22,3,NA,1500
01235,Hinsdale,2020-04-29,3,NA,1500
01235,Hinsdale,2020-05-06,3,NA,1500
01235,Hinsdale,2020-05-13,3,NA,1500
01235,Hinsdale,2020-05-20,3,NA,1500
01235,Hinsdale,2020-05-27,0,94,1500
01235,Hinsdale,2020-06-03,0,113,1500
01235,Hinsdale,2020-06-10,3,126,1500
01235,Hinsdale,2020-06-17,3,141,1500
01235,Hinsdale,2020-06-24,3,177,1500
01235,Hinsdale,2020-07-01,0,213,1500
01235,Hinsdale,2020-07-08,3,234,1500
01235,Hinsdale,2020-07-15,3,268,1500
01235,Hinsdale,2020-07-22,3,311,1500
01235,Hinsdale,2020-07-29,5,347,1500
01235,Hinsdale,2020-08-05,5,385,1500
01235,Hinsdale,2020-08-12,5,425,1500
01235,Hinsdale,2020-08-19,5,470,1500
01235,Hinsdale,2020-08-26,5,516,1500
01235,Hinsdale,2020-09-02,5,560,1500
01235,Hinsdale,2020-09-09,5,602,1500
01235,Hinsdale,2020-09-16,5,646,1500
02747,Dartmouth,2020-04-22,66,NA,36819
02747,Dartmouth,2020-04-29,161,NA,36819
02747,Dartmouth,2020-05-06,205,NA,36819
02747,Dartmouth,2020-05-13,240,NA,36819
02747,Dartmouth,2020-05-20,284,NA,36819
02747,Dartmouth,2020-05-27,312,2341,36819
02747,Dartmouth,2020-06-03,365,3200,36819
02747,Dartmouth,2020-06-10,373,3475,36819
02747,Dartmouth,2020-06-17,379,3851,36819
02747,Dartmouth,2020-06-24,386,4084,36819
02747,Dartmouth,2020-07-01,391,5380,36819
02747,Dartmouth,2020-07-08,391,5594,36819
02747,Dartmouth,2020-07-15,394,5814,36819
02747,Dartmouth,2020-07-22,397,6232,36819
02747,Dartmouth,2020-07-29,401,6610,36819
02747,Dartmouth,2020-08-05,407,7096,36819
02747,Dartmouth,2020-08-12,412,7478,36819
02747,Dartmouth,2020-08-19,421,8158,36819
02747,Dartmouth,2020-08-26,425,8783,36819
02747,Dartmouth,2020-09-02,437,9899,36819
02747,Dartmouth,2020-09-09,442,10899,36819
02747,Dartmouth,2020-09-16,451,12498,36819
02769,Rehoboth,2020-04-22,27,NA,12616
02769,Rehoboth,2020-04-29,32,NA,12616
02769,Rehoboth,2020-05-06,40,NA,12616
02769,Rehoboth,2020-05-13,44,NA,12616
